05:01:26 {"retainedRecords":1273,"memoryUsage":{"rssMb":145.57,"heapUsedMb":23.07,"heapTotalMb":46.85,"externalMb":12.52,"arrayBuffersMb":10.3},"cpuUsage":{"userMs":381428.23,"systemMs":4770.78},"uptimeSec":5366}
05:01:37 {"retainedRecords":2037,"memoryUsage":{"rssMb":146.19,"heapUsedMb":18.07,"heapTotalMb":48.1,"externalMb":18.36,"arrayBuffersMb":16.14},"cpuUsage":{"userMs":381970.01,"systemMs":4946.55},"uptimeSec":5376}
05:01:47 {"retainedRecords":2827,"memoryUsage":{"rssMb":146.82,"heapUsedMb":12.97,"heapTotalMb":48.6,"externalMb":24.39,"arrayBuffersMb":22.17},"cpuUsage":{"userMs":382525.92,"systemMs":5118.3},"uptimeSec":5386}
05:01:57 {"retainedRecords":3623,"memoryUsage":{"rssMb":148.44,"heapUsedMb":21.59,"heapTotalMb":49.85,"externalMb":30.66,"arrayBuffersMb":28.43},"cpuUsage":{"userMs":383023.35,"systemMs":5332.27},"uptimeSec":5396}
05:02:07 {"retainedRecords":4393,"memoryUsage":{"rssMb":150.69,"heapUsedMb":23.23,"heapTotalMb":50.57,"externalMb":36.76,"arrayBuffersMb":34.54},"cpuUsage":{"userMs":383488.87,"systemMs":5532.94},"uptimeSec":5406}
05:02:17 {"retainedRecords":5114,"memoryUsage":{"rssMb":157.69,"heapUsedMb":22.46,"heapTotalMb":51.82,"externalMb":42.46,"arrayBuffersMb":40.24},"cpuUsage":{"userMs":383969.55,"systemMs":5706.16},"uptimeSec":5416}
05:02:27 {"retainedRecords":5873,"memoryUsage":{"rssMb":165.57,"heapUsedMb":14.5,"heapTotalMb":53.57,"externalMb":48.19,"arrayBuffersMb":45.96},"cpuUsage":{"userMs":384457.63,"systemMs":5901.56},"uptimeSec":5426}
05:02:37 {"retainedRecords":6644,"memoryUsage":{"rssMb":172.82,"heapUsedMb":21.3,"heapTotalMb":55.07,"externalMb":54.2,"arrayBuffersMb":51.98},"cpuUsage":{"userMs":384952.36,"systemMs":6090.48},"uptimeSec":5436}
05:02:47 {"retainedRecords":7444,"memoryUsage":{"rssMb":181.94,"heapUsedMb":19.56,"heapTotalMb":52.82,"externalMb":60.48,"arrayBuffersMb":58.25},"cpuUsage":{"userMs":385466.77,"systemMs":6302.96},"uptimeSec":5447}
05:02:57 {"retainedRecords":8234,"memoryUsage":{"rssMb":188.82,"heapUsedMb":25.95,"heapTotalMb":54.27,"externalMb":66.88,"arrayBuffersMb":64.65},"cpuUsage":{"userMs":385956.45,"systemMs":6512.51},"uptimeSec":5457}
05:03:07 {"retainedRecords":9016,"memoryUsage":{"rssMb":194.78,"heapUsedMb":20.28,"heapTotalMb":55.29,"externalMb":72.84,"arrayBuffersMb":70.62},"cpuUsage":{"userMs":386448.63,"systemMs":6722.72},"uptimeSec":5467}
05:03:17 {"retainedRecords":9800,"memoryUsage":{"rssMb":201.03,"heapUsedMb":16.04,"heapTotalMb":55.04,"externalMb":78.84,"arrayBuffersMb":76.62},"cpuUsage":{"userMs":386971.02,"systemMs":6929.03},"uptimeSec":5477}
